Data Source;World Development Indicators;;
Last Updated Date;22/12/22;;
;;;
Morocco;MAR;35528115;35927511
Monaco;MCO;37044;37029
Moldova;MDA;2755189;2707203
Madagascar;MDG;26169542;26846541
Maldives;MDV;472442;489758
Middle East & North Africa;MEA;456885486;465073490
Mexico;MEX;122839258;124013861
Marshall Islands;MHL;47187;45989
Middle income;MIC;5679375318;5740015870
North Macedonia;MKD;2074502;2076217
Mali;MLI;19311355;19934298
Malta;MLT;467999;484630
Myanmar;MMR;52288341;52666014
Middle East & North Africa (excluding high income);MNA;391607422;398375344
Montenegro;MNE;622373;622227
Mongolia;MNG;3096030;3163991
Northern Mariana Islands;MNP;50729;50304
Mozambique;MOZ;28569441;29423878
Mauritania;MRT;4160015;4270712
Mauritius;MUS;1264613;1265303
Malawi;MWI;17881167;18367883
Malaysia;MYS;31975806;32399271
North America;NAC;361731237;363967201
Namibia;NAM;2364534;2405680
New Caledonia;NCL;270810;271170
Niger;NER;21737922;22577058
Nigeria;NGA;193495907;198387623
Nicaragua;NIC;6480532;6572233
Netherlands;NLD;17131296;17231624
Norway;NOR;5276968;5311916
Nepal;NPL;28183426;28506712
Nauru;NRU;11682;11924
New Zealand;NZL;4813600;4900600
OECD members;OED;1348646085;1356241793
Oman;OMN;4541854;4601157
Other small states;OSS;30940039;31494217
Pakistan;PAK;216379655;219731479
Panama;PAN;4096063;4165255
Peru;PER;31605486;32203944
Philippines;PHL;106738501;108568836
Palau;PLW;17837;17864
Papua New Guinea;PNG;9114796;9329227
Poland;POL;37974826;37974750
Pre-demographic dividend;PRE;905987912;931467165
Puerto Rico;PRI;3325286;3193354
Korea, Dem. People's Rep.;PRK;25516321;25638149
Portugal;PRT;10300300;10283822
Paraguay;PRY;6355404;6443328
West Bank and Gaza;PSE;4454805;4569087
Pacific island small states;PSS;2484263;2510226
Post-demographic dividend;PST;1106214534;1110126741
French Polynesia;PYF;295450;297606
Qatar;QAT;2711755;2766732
Romania;ROU;19588715;19473970
Russian Federation;RUS;144496739;144477859
Rwanda;RWA;12230339;12531808
South Asia;SAS;1818868706;1840534093
Saudi Arabia;SAU;34193122;35018133
Sudan;SDN;40679828;41999059
Senegal;SEN;15157793;15574909
Singapore;SGP;5612253;5638676
Solomon Islands;SLB;643634;659249
Sierra Leone;SLE;7677565;7861281
El Salvador;SLV;6266654;6276342
San Marino;SMR;34056;34156
Somalia;SOM;14864221;15411094
Serbia;SRB;7020858;6982604
Sub-Saharan Africa (excluding high income);SSA;1063789157;1092306937
South Sudan;SSD;10658226;10395329
Sub-Saharan Africa;SSF;1063885000;1092403699
Small states;SST;40727936;41379093
Sao Tome and Principe;STP;208036;211344
Suriname;SUR;587559;593715
Slovak Republic;SVK;5439232;5446771
Slovenia;SVN;2066388;2073894
Sweden;SWE;10057698;10175214
Eswatini;SWZ;1151390;1160428
Sint Maarten (Dutch part);SXM;40574;40895
Seychelles;SYC;95843;96762
Syrian Arab Republic;SYR;18983373;19333463
Turks and Caicos Islands;TCA;39844;41487
Chad;TCD;15085884;15604210
East Asia & Pacific (IDA & IBRD countries);TEA;2055414680;2068898629
